id,instituto,puntos,carrera
119,15,4,"Ingeniería en Alimentos"
120,15,6,"Ingeniería Ambiental"
121,15,3,"Ingeniería en Sistemas Computacionales"    
122,16,6,"Ingeniería en Sistemas Computacionales "    
123,17,6,"Ingeniería en Tecnologías de la Información y Comunicaciones"    
124,18,3,"Ingeniería en Sistemas Computacionales"        
125,20,8,"Ingeniería en Mecatrónica"
126,20,6,"Ingeniería en Mantenimiento Industrial"
127,20,6,"Ingeniería en Tecnologías de la Información"    
128,21,3,"Ingeniería en Sistemas Computacionales"    
129,22,10,"Preparatoria"    
130,23,8,"Maestría en Educación Histórica"
131,23,10,"Doctorado en Educación: Saberes Disciplinares, Proceso de Enseñanza y Aprendizaje (DESDPEA) (Centro de Actualización del Magisterio)"    
132,24,8,"Maestría en Educación"    
133,25,3,"Ingeniería en Sistemas Computacionales"    
